Date,Start Time,Distance (km),Moving Time (min),Elapsed Time (min),Avg Pace (min/km),Max Speed (km/h),Km1 Pace,Km2 Pace,Km3 Pace,Km4 Pace,Km5 Pace,Km6 Pace,Km7 Pace,Km8 Pace
2025-03-03,00:59,2.68,27.6,28.0,10.3,23.8,10.5,10.4,,,,,,
2025-03-04,03:09,2.85,31.3,31.6,11.0,28.3,11.1,12.5,,,,,,
2025-03-04,14:01,1.58,18.0,190.8,11.3,10.4,11.4,,,,,,,
2025-03-07,13:59,5.67,58.1,61.7,10.2,22.6,10.7,14.0,10.4,9.9,10.0,,,
2025-03-15,00:53,0.01,0.4,0.7,44.0,3.8,,,,,,,,
2025-03-15,00:54,5.22,54.0,54.0,10.4,10.9,11.3,11.0,10.6,9.8,9.1,,,
2025-07-26,12:08,7.16,73.7,74.0,10.3,12.4,10.9,10.2,10.7,10.6,9.9,10.0,10.1,
2025-07-29,23:33,7.36,75.0,75.0,10.2,17.3,10.4,9.9,10.2,10.3,10.2,10.1,10.2,
2025-07-30,23:43,7.41,74.8,75.4,10.1,15.9,11.1,9.5,9.7,10.1,9.9,10.2,10.2,
2025-07-31,23:46,7.34,75.3,75.9,10.3,16.3,11.2,9.7,10.2,9.7,10.2,10.8,10.0,
2025-08-02,12:40,7.22,72.2,72.2,10.0,10.7,10.5,9.4,9.9,9.9,9.9,10.0,10.0,
2025-08-03,02:16,7.17,72.8,72.8,10.2,10.2,10.4,9.3,9.5,9.8,10.3,10.6,11.2,
2025-08-04,13:50,8.02,86.3,88.3,10.8,14.0,10.4,9.6,10.3,11.2,10.5,11.0,12.2,12.8
2025-08-05,23:39,7.47,79.0,79.3,10.6,12.4,11.5,10.1,10.1,10.1,10.2,10.3,10.9,
2025-08-06,23:38,7.18,75.7,75.7,10.5,14.3,12.5,10.4,10.1,10.2,9.9,10.3,10.6,
2025-08-07,23:36,7.21,75.6,75.6,10.5,10.4,11.9,10.4,10.0,9.9,10.2,10.2,10.8,
2025-08-09,14:01,7.39,78.4,78.4,10.6,11.6,11.1,9.8,10.6,10.4,10.6,10.3,10.5,
2025-08-10,13:48,7.1,75.4,75.4,10.6,12.9,10.8,10.7,10.1,9.3,11.4,10.6,11.4,
2025-08-11,14:10,7.15,78.6,78.6,11.0,22.8,11.9,10.7,11.2,10.8,10.4,10.3,11.5,
2025-08-12,23:37,7.1,74.8,74.8,10.5,12.3,12.0,10.1,9.9,10.3,9.2,10.4,11.4,
2025-08-13,23:34,7.17,76.3,76.3,10.6,17.9,11.6,10.2,10.1,10.5,10.3,10.6,10.9,
2025-08-15,13:22,7.15,80.4,80.7,11.2,24.0,13.0,12.0,13.1,10.1,8.7,11.5,10.4,
2025-08-15,23:55,7.17,85.4,86.5,11.9,12.5,12.5,10.5,11.7,13.4,12.9,11.4,11.8,
2025-08-17,00:31,7.15,77.4,77.4,10.8,15.6,11.3,10.4,10.6,10.8,10.8,10.5,11.2,
2025-08-18,13:21,7.1,79.2,79.2,11.2,12.6,11.0,10.9,11.0,11.6,10.9,11.2,11.4,
2025-08-20,00:13,7.1,72.2,72.2,10.2,23.3,10.9,10.3,10.2,8.7,9.7,9.5,11.0,
2025-08-20,23:35,7.24,80.7,81.0,11.1,27.6,12.3,11.1,10.6,11.1,11.3,9.8,11.8,
2025-08-22,11:30,7.44,83.9,83.9,11.3,22.1,9.8,10.9,11.7,12.0,11.6,11.3,11.7,
2025-08-23,10:37,7.14,83.3,84.1,11.7,10.5,11.7,10.9,11.6,11.7,11.8,11.9,12.8,
2025-08-24,15:58,7.17,83.5,83.5,11.6,13.0,11.8,11.1,11.8,11.9,11.4,11.4,11.9,
2025-08-25,23:40,7.14,77.2,77.2,10.8,12.4,12.9,11.3,10.4,9.9,10.1,10.3,10.5,
2025-08-27,10:36,7.58,93.1,93.1,12.3,18.9,12.5,12.2,11.7,11.8,11.8,11.8,12.7,
2025-08-27,23:48,7.16,79.9,79.9,11.2,12.3,11.9,11.1,10.8,11.0,11.1,11.0,11.2,
2026-01-20,13:04,4.12,45.2,45.2,11.0,18.8,11.9,11.0,10.4,10.7,,,,
2026-01-26,12:35,4.13,48.3,48.3,11.7,12.5,11.8,11.8,11.7,11.4,,,,
2026-01-29,13:14,3.47,44.5,76.6,12.8,10.7,13.1,12.5,12.2,,,,,
2026-02-10,00:20,3.76,41.9,51.1,11.1,13.5,10.8,15.4,11.0,,,,,
2026-02-15,03:14,5.08,54.0,54.7,10.6,12.9,11.3,11.2,10.8,10.6,9.8,,,
2026-02-16,15:41,4.13,45.2,45.2,10.9,11.9,11.6,11.0,10.8,10.4,,,,
2026-03-22,12:40,4.04,44.0,44.3,10.9,20.1,11.1,11.8,10.4,10.5,,,,
2026-03-27,01:28,4.24,48.0,48.5,11.3,18.0,11.4,10.9,10.9,11.3,,,,
2026-07-13,14:04,1.58,17.0,17.0,10.8,9.7,10.5,,,,,,,
2026-07-14,00:22,3.54,38.3,38.3,10.8,13.4,12.0,10.2,10.2,,,,,
